1161	1161
18	75
535	540
614	564
564	555
1010	1010
586	586
539	75
591	519
591	589
548	150
519	591
1039	535
516	1195
505	564
545	545
1075	505
1043	1043
527	562
150	66
18	75
600	1190
1162	516
562	527
66	532
250	250
250	562
555	564
502	562
564	564
1124	1124
48	527
532	66
583	583
572	572
605	605
505	504
610	586
1105	1105
611	611
583	583
251	540
1162	1162
540	535
1226	1010
1195	516
1331	1331
1143	600
1143	1143
515	608
1161	1161
532	532
544	510
1010	1010
548	535
1007	515
614	503
544	527
150	605
1190	600
116	586
48	1190
515	1007
539	539
1007	1007
611	611
610	586
66	150
1039	1039
600	1143
503	555
586	610
1190	1162
1331	1331
504	505
555	503
536	611
1195	1190
504	18
562	250
1226	18
572	572
503	614
589	611
527	544
510	611
1124	1124
608	608
589	555
510	600
608	608
75	1105
502	538
535	548
75	18
538	538
545	545
519	250
516	1162
116	572
251	527
605	605
1075	505
1043	1043
536	589
540	251
1105	1105
538	502
